Year,Month,Unit,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive Act,Narcotics,Smuggling,Total Recovery Cases,Total Cases
2019,December,Sylhet Range,2,4,16,4,0,60,1,2,3,39,337,5,0,222,20,247,715
2019,December,Khulna Range,3,5,24,0,0,153,0,0,18,39,549,13,2,760,23,798,1590
2019,December,Barishal Range,3,1,11,1,0,93,2,0,11,19,383,3,2,286,2,293,817
2019,December,Rajshahi Range,2,4,21,4,0,204,2,2,5,43,508,15,4,1439,135,1593,2388
2019,December,Rangpur Range,2,1,15,1,0,149,2,3,12,39,571,1,0,496,81,578,1373
2019,December,Railway Range,0,0,2,0,0,0,0,0,0,7,12,1,0,34,13,48,69
2019,December,Total,33,66,250,54,1,1610,35,27,219,562,5140,177,22,8409,355,8963,16960
2019,Annual,DMP,21,155,208,97,2,2400,98,73,694,1517,5503,133,32,16880,121,17166,27934
2019,Annual,CMP,2,84,85,67,0,704,14,35,120,198,1443,694,5,5231,41,5971,8723
2019,Annual,KMP,2,4,18,6,0,138,0,2,33,62,357,13,4,1784,24,1825,2447
2019,Annual,RMP,1,33,20,6,3,217,16,10,35,61,582,21,0,3838,283,4142,5126
2019,Annual,BMP,2,11,25,8,0,160,2,2,70,76,504,11,0,1231,0,1242,2102
2019,Annual,SMP,5,15,32,50,2,223,9,24,24,103,790,21,2,729,49,801,2078
2019,Annual,RPMP,2,9,18,3,0,169,21,0,2,71,434,11,0,891,0,902,1633
2019,Annual,GMP,11,38,65,6,0,372,25,11,18,152,994,73,2,2273,24,2372,4064
2019,Annual,Dhaka Range,85,154,770,59,0,3432,157,102,363,1049,11545,176,27,18259,80,18542,36258
2019,Annual,Mymensingh Range,8,21,251,29,0,1675,31,36,64,377,5301,56,3,6549,87,6695,14488
2019,Annual,Chittagong Range,91,106,777,81,0,2860,89,98,390,867,10963,776,11,14296,104,15187,31509
2019,Annual,Sylhet Range,30,38,214,15,0,981,21,57,71,471,4467,62,5,2715,262,3044,9409
2019,Annual,Khulna Range,31,72,381,21,1,1943,26,24,192,552,7055,211,35,9485,386,10117,20415
2019,Annual,Barishal Range,22,33,146,9,0,1577,22,16,178,219,5094,37,7,3968,8,4020,11336
2019,Annual,Rajshahi Range,22,75,373,63,0,2474,48,33,77,458,6557,246,60,15549,1451,17306,27486
2019,Annual,Rangpur Range,12,32,249,10,0,2432,18,32,108,571,8207,28,2,6972,1029,8031,19702
2019,Annual,Railway Range,1,16,21,1,0,7,1,0,0,76,140,3,1,542,165,711,974
2019,Annual,Total,350,896,3653,531,8,21764,598,555,2439,6880,69936,2572,196,111192,4114,118074,225684
